"ID","LINK","DESCRIPTION","TYPE","COLOR","PATTERN","OUTFIT"
"c00","https://github.com/f4shionrecommendation/fashion_reccom/blob/master/img/shoes/c00.jpg?raw=true","Silver ballerinas","ballerinas","silver","plain",1
"c01","https://github.com/f4shionrecommendation/fashion_reccom/blob/master/img/shoes/c01.jpg?raw=true","Purple heeled boots","boots","purple","plain",1
"c02","https://github.com/f4shionrecommendation/fashion_reccom/blob/master/img/shoes/c02.jpg?raw=true","Fucshia heels","heels","fuchsia","plain",2
"c03","https://github.com/f4shionrecommendation/fashion_reccom/blob/master/img/shoes/c03.jpg?raw=true","Glittered heels","heels","glittered","glittered",2
"c04","https://github.com/f4shionrecommendation/fashion_reccom/blob/master/img/shoes/c04.jpg?raw=true","Brown boots","boots","brown","plain",3
"c05","https://github.com/f4shionrecommendation/fashion_reccom/blob/master/img/shoes/c05.jpg?raw=true","Brown and golden floreal boots","boots","brown-gold","floreal",4
"c06","https://github.com/f4shionrecommendation/fashion_reccom/blob/master/img/shoes/c06.jpg?raw=true","Black converse all star","sneakers","black","plain",5
"c07","https://github.com/f4shionrecommendation/fashion_reccom/blob/master/img/shoes/c07.jpg?raw=true","Brown glossy heels","heels","brown","plain",6
"c08","https://github.com/f4shionrecommendation/fashion_reccom/blob/master/img/shoes/c08.jpg?raw=true","Beige wedge boots","boots","beige","plain",6
"c09","https://github.com/f4shionrecommendation/fashion_reccom/blob/master/img/shoes/c09.jpg?raw=true","Gold glittered heels","heels","gold","glittered",7
